Archaea;Thaumarchaeota;Nitrososphaeria;Nitrosopumilales;Nitrosopumilaceae;Brassica_napus_(rape)	Archaea;Thaumarchaeota;Nitrososphaeria;Nitrosopumilales;Nitrosopumilaceae
Bacteria;Bacteroidetes;Bacteroidia;Chitinophagales;Chitinophagaceae;Ferruginibacter;Hypsibius_dujardini	Bacteria;Bacteroidetes;Bacteroidia;Chitinophagales;Chitinophagaceae;Ferruginibacter
Bacteria;Bacteroidetes;Bacteroidia;Chitinophagales;Chitinophagaceae;Sediminibacterium;Hypsibius_dujardini	Bacteria;Bacteroidetes;Bacteroidia;Chitinophagales;Chitinophagaceae;Sediminibacterium
Bacteria;Bacteroidetes;Bacteroidia;Chitinophagales;Chitinophagaceae;Terrimonas;Hypsibius_dujardini	Bacteria;Bacteroidetes;Bacteroidia;Chitinophagales;Chitinophagaceae;Terrimonas
Bacteria;Bacteroidetes;Bacteroidia;Chitinophagales;Chitinophagaceae;Terrimonas;Trachelomonas_volvocinopsis_var._spiralis	Bacteria;Bacteroidetes;Bacteroidia;Chitinophagales;Chitinophagaceae;Terrimonas
Bacteria;Bacteroidetes;Bacteroidia;Chitinophagales;Chitinophagaceae;uncultured;Spumella-like_flagellate_JBM08	Bacteria;Bacteroidetes;Bacteroidia;Chitinophagales;Chitinophagaceae;
Bacteria;Bacteroidetes;Bacteroidia;Chitinophagales;Chitinophagaceae;Vibrionimonas;Sediminibacterium_sp._I-32	Bacteria;Bacteroidetes;Bacteroidia;Chitinophagales;Chitinophagaceae;Vibrionimonas
Bacteria;Bacteroidetes;Bacteroidia;Chitinophagales;Chitinophagaceae;Vibrionimonas;Sediminibacterium_sp._LT21-MRL	Bacteria;Bacteroidetes;Bacteroidia;Chitinophagales;Chitinophagaceae;Vibrionimonas
Bacteria;Bacteroidetes;Bacteroidia;Chitinophagales;Saprospiraceae;Lewinella;Cladosiphon_okamuranus	Bacteria;Bacteroidetes;Bacteroidia;Chitinophagales;Saprospiraceae;Lewinella
Bacteria;Bacteroidetes;Bacteroidia;Chitinophagales;Saprospiraceae;Rubidimonas;Tigriopus_californicus	Bacteria;Bacteroidetes;Bacteroidia;Chitinophagales;Saprospiraceae;Rubidimonas
Bacteria;Bacteroidetes;Bacteroidia;Chitinophagales;Saprospiraceae;uncultured;Ephemera_danica	Bacteria;Bacteroidetes;Bacteroidia;Chitinophagales;Saprospiraceae
Bacteria;Bacteroidetes;Bacteroidia;Chitinophagales;Saprospiraceae;uncultured;Saccharina_japonica	Bacteria;Bacteroidetes;Bacteroidia;Chitinophagales;Saprospiraceae;
Bacteria;Bacteroidetes;Bacteroidia;Chitinophagales;Saprospiraceae;uncultured;Sargassum_vachellianum	Bacteria;Bacteroidetes;Bacteroidia;Chitinophagales;Saprospiraceae;
Bacteria;Bacteroidetes;Bacteroidia;Cytophagales;Amoebophilaceae;Candidatus_Amoebophilus;Dictyostelium_polycephalum	Bacteria;Bacteroidetes;Bacteroidia;Cytophagales;Amoebophilaceae;Candidatus_Amoebophilus
Bacteria;Bacteroidetes;Bacteroidia;Cytophagales;Amoebophilaceae;Candidatus_Amoebophilus;Diplonema_papillatum	Bacteria;Bacteroidetes;Bacteroidia;Cytophagales;Amoebophilaceae;Candidatus_Amoebophilus
Bacteria;Bacteroidetes;Bacteroidia;Cytophagales;Cyclobacteriaceae;Algoriphagus;Flexibacter_sp._cu2i-19	Bacteria;Bacteroidetes;Bacteroidia;Cytophagales;Cyclobacteriaceae;Algoriphagus
Bacteria;Bacteroidetes;Bacteroidia;Cytophagales;Cyclobacteriaceae;Algoriphagus;Flexibacteraceae_bacterium_JAM-BA0103	Bacteria;Bacteroidetes;Bacteroidia;Cytophagales;Cyclobacteriaceae;Algoriphagus
Bacteria;Bacteroidetes;Bacteroidia;Cytophagales;Cyclobacteriaceae;Algoriphagus;Sphingobacterium_sp._BF02-S7	Bacteria;Bacteroidetes;Bacteroidia;Cytophagales;Cyclobacteriaceae;Algoriphagus
Bacteria;Bacteroidetes;Bacteroidia;Cytophagales;Cyclobacteriaceae;Marinoscillum;Saccharina_japonica	Bacteria;Bacteroidetes;Bacteroidia;Cytophagales;Cyclobacteriaceae;Marinoscillum
Bacteria;Bacteroidetes;Bacteroidia;Cytophagales;Cyclobacteriaceae;Nafulsella;Rhinopithecus_roxellana_(golden_snub-nosed_monkey)	Bacteria;Bacteroidetes;Bacteroidia;Cytophagales;Cyclobacteriaceae;Nafulsella
Bacteria;Bacteroidetes;Bacteroidia;Cytophagales;Cyclobacteriaceae;Roseivirga;Thalassiosira_rotula	Bacteria;Bacteroidetes;Bacteroidia;Cytophagales;Cyclobacteriaceae;Roseivirga
Bacteria;Bacteroidetes;Bacteroidia;Cytophagales;Cyclobacteriaceae;Shivajiella;Fodinibacter_sp._S2	Bacteria;Bacteroidetes;Bacteroidia;Cytophagales;Cyclobacteriaceae;Shivajiella
Bacteria;Bacteroidetes;Bacteroidia;Cytophagales;Cytophagaceae;Cytophaga;Hypsibius_dujardini	Bacteria;Bacteroidetes;Bacteroidia;Cytophagales;Cytophagaceae;Cytophaga
Bacteria;Bacteroidetes;Bacteroidia;Cytophagales;Hymenobacteraceae;Hymenobacter;Amia_calva_(bowfin)	Bacteria;Bacteroidetes;Bacteroidia;Cytophagales;Hymenobacteraceae;Hymenobacter
Bacteria;Bacteroidetes;Bacteroidia;Cytophagales;Hymenobacteraceae;Hymenobacter;Deinococcus_sp._6A2	Bacteria;Bacteroidetes;Bacteroidia;Cytophagales;Hymenobacteraceae;Hymenobacter
Bacteria;Bacteroidetes;Bacteroidia;Cytophagales;Hymenobacteraceae;Hymenobacter;Macrotyloma_uniflorum	Bacteria;Bacteroidetes;Bacteroidia;Cytophagales;Hymenobacteraceae;Hymenobacter
Bacteria;Bacteroidetes;Bacteroidia;Cytophagales;Hymenobacteraceae;Hymenobacter;Thymallus_thymallus_(grayling)	Bacteria;Bacteroidetes;Bacteroidia;Cytophagales;Hymenobacteraceae;Hymenobacter
Bacteria;Bacteroidetes;Bacteroidia;Cytophagales;Hymenobacteraceae;Hymenobacter;Triticum_aestivum_(bread_wheat)	Bacteria;Bacteroidetes;Bacteroidia;Cytophagales;Hymenobacteraceae;Hymenobacter
Bacteria;Bacteroidetes;Bacteroidia;Cytophagales;Hymenobacteraceae;Pontibacter;Bacteroides_sp._MBF11	Bacteria;Bacteroidetes;Bacteroidia;Cytophagales;Hymenobacteraceae;Pontibacter
Bacteria;Bacteroidetes;Bacteroidia;Cytophagales;Microscillaceae;Ohtaekwangia;Globodera_pallida	Bacteria;Bacteroidetes;Bacteroidia;Cytophagales;Microscillaceae;Ohtaekwangia
Bacteria;Bacteroidetes;Bacteroidia;Cytophagales;Spirosomaceae;Arsenicibacter;Cenchrus_americanus	Bacteria;Bacteroidetes;Bacteroidia;Cytophagales;Spirosomaceae;Arsenicibacter
Bacteria;Bacteroidetes;Bacteroidia;Cytophagales;Spirosomaceae;Dyadobacter;Sphingobacterium_sp._32	Bacteria;Bacteroidetes;Bacteroidia;Cytophagales;Spirosomaceae;Dyadobacter
Bacteria;Bacteroidetes;Bacteroidia;Cytophagales;Spirosomaceae;Dyadobacter;Spumella-like_flagellate_JBM08	Bacteria;Bacteroidetes;Bacteroidia;Cytophagales;Spirosomaceae;Dyadobacter
Bacteria;Bacteroidetes;Bacteroidia;Cytophagales;Spirosomaceae;Fibrisoma;Cenchrus_americanus	Bacteria;Bacteroidetes;Bacteroidia;Cytophagales;Spirosomaceae;Fibrisoma
Bacteria;Bacteroidetes;Bacteroidia;Cytophagales;Spirosomaceae;Lacihabitans;Hyalella_azteca	Bacteria;Bacteroidetes;Bacteroidia;Cytophagales;Spirosomaceae;Lacihabitans
Bacteria;Bacteroidetes;Bacteroidia;Cytophagales;Spirosomaceae;uncultured;Dyadobacter_sp._enrichment_culture	Bacteria;Bacteroidetes;Bacteroidia;Cytophagales;Spirosomaceae;
Bacteria;Bacteroidetes;Bacteroidia;Cytophagales;Spirosomaceae;uncultured;Ephemera_danica	Bacteria;Bacteroidetes;Bacteroidia;Cytophagales;Spirosomaceae
Bacteria;Bacteroidetes;Bacteroidia;Flavobacteriales;Blattabacteriaceae;Blattabacterium;Periplaneta_americana_(American_cockroach)	Bacteria;Bacteroidetes;Bacteroidia;Flavobacteriales;Blattabacteriaceae;Blattabacterium
Bacteria;Bacteroidetes;Bacteroidia;Flavobacteriales;Blattabacteriaceae;Candidatus_Brownia;Flavobacterium;	Bacteria;Bacteroidetes;Bacteroidia;Flavobacteriales;Blattabacteriaceae;Candidatus_Brownia
Bacteria;Bacteroidetes;Bacteroidia;Flavobacteriales;Blattabacteriaceae;Candidatus_Sulcia;Okanagana_villosa	Bacteria;Bacteroidetes;Bacteroidia;Flavobacteriales;Blattabacteriaceae;Candidatus_Sulcia
Bacteria;Bacteroidetes;Bacteroidia;Flavobacteriales;Blattabacteriaceae;Candidatus_Sulcia;Priacma_serrata	Bacteria;Bacteroidetes;Bacteroidia;Flavobacteriales;Blattabacteriaceae;Candidatus_Sulcia
Bacteria;Bacteroidetes;Bacteroidia;Flavobacteriales;Crocinitomicaceae;Fluviicola;Hypsibius_dujardini	Bacteria;Bacteroidetes;Bacteroidia;Flavobacteriales;Crocinitomicaceae;Fluviicola
Bacteria;Bacteroidetes;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Aurantivirga;Flavobacterium_sp._SCGC_AAA160-P02	Bacteria;Bacteroidetes;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Aurantivirga
Bacteria;Bacteroidetes;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Costertonia;Chromera_velia	Bacteria;Bacteroidetes;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Costertonia
Bacteria;Bacteroidetes;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Flavobacterium;Anabaena_sp._WA113	Bacteria;Bacteroidetes;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Flavobacterium
Bacteria;Bacteroidetes;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Flavobacterium;Bragasellus_molinai	Bacteria;Bacteroidetes;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Flavobacterium
Bacteria;Bacteroidetes;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Flavobacterium;Daphnia_magna	Bacteria;Bacteroidetes;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Flavobacterium
Bacteria;Bacteroidetes;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Flavobacterium;Dictyostelium_deminutivum	Bacteria;Bacteroidetes;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Flavobacterium
Bacteria;Bacteroidetes;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Flavobacterium;Eriocheir_sinensis_(Chinese_mitten_crab)	Bacteria;Bacteroidetes;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Flavobacterium
Bacteria;Bacteroidetes;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Flavobacterium;Hydra_vulgaris	Bacteria;Bacteroidetes;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Flavobacterium
Bacteria;Bacteroidetes;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Flavobacterium;Proasellus_cavaticus	Bacteria;Bacteroidetes;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Flavobacterium
Bacteria;Bacteroidetes;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Flavobacterium;Proasellus_grafi	Bacteria;Bacteroidetes;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Flavobacterium
Bacteria;Bacteroidetes;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Flavobacterium;Proasellus_ibericus	Bacteria;Bacteroidetes;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Flavobacterium
Bacteria;Bacteroidetes;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Flavobacterium;Proasellus_parvulus	Bacteria;Bacteroidetes;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Flavobacterium
Bacteria;Bacteroidetes;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Flavobacterium;Proasellus_racovitzai	Bacteria;Bacteroidetes;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Flavobacterium
Bacteria;Bacteroidetes;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Flavobacterium;Proasellus_spelaeus	Bacteria;Bacteroidetes;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Flavobacterium
Bacteria;Bacteroidetes;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Flavobacterium;Trachelomonas_sp._Jakeun052407A	Bacteria;Bacteroidetes;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Flavobacterium
Bacteria;Bacteroidetes;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Flavobacterium;Trachelomonas_sp._Jilnal030207BT	Bacteria;Bacteroidetes;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Flavobacterium
Bacteria;Bacteroidetes;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Formosa;Anurida_maritima	Bacteria;Bacteroidetes;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Formosa
Bacteria;Bacteroidetes;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Tenacibaculum;Porites_australiensis	Bacteria;Bacteroidetes;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Tenacibaculum
Bacteria;Bacteroidetes;Bacteroidia;Flavobacteriales;Weeksellaceae;Apibacter;Ceratina_chalybea	Bacteria;Bacteroidetes;Bacteroidia;Flavobacteriales;Weeksellaceae;Apibacter
Bacteria;Bacteroidetes;Bacteroidia;Flavobacteriales;Weeksellaceae;Chryseobacterium;Bouteloua_dactyloides	Bacteria;Bacteroidetes;Bacteroidia;Flavobacteriales;Weeksellaceae;Chryseobacterium
Bacteria;Bacteroidetes;Bacteroidia;Flavobacteriales;Weeksellaceae;Chryseobacterium;Oryza_sativa_Indica_Group_(long-grained_rice)	Bacteria;Bacteroidetes;Bacteroidia;Flavobacteriales;Weeksellaceae;Chryseobacterium
Bacteria;Bacteroidetes;Bacteroidia;Flavobacteriales;Weeksellaceae;Chryseobacterium;Romanomermis_culicivorax	Bacteria;Bacteroidetes;Bacteroidia;Flavobacteriales;Weeksellaceae;Chryseobacterium
Bacteria;Bacteroidetes;Bacteroidia;Flavobacteriales;Weeksellaceae;Chryseobacterium;Triticum_urartu	Bacteria;Bacteroidetes;Bacteroidia;Flavobacteriales;Weeksellaceae;Chryseobacterium
Bacteria;Bacteroidetes;Bacteroidia;Sphingobacteriales;Sphingobacteriaceae;Mucilaginibacter;Castanea_mollissima_(Chinese_chestnut)	Bacteria;Bacteroidetes;Bacteroidia;Sphingobacteriales;Sphingobacteriaceae;Mucilaginibacter
Bacteria;Bacteroidetes;Bacteroidia;Sphingobacteriales;Sphingobacteriaceae;Mucilaginibacter;Thymallus_thymallus_(grayling)	Bacteria;Bacteroidetes;Bacteroidia;Sphingobacteriales;Sphingobacteriaceae;Mucilaginibacter
Bacteria;Bacteroidetes;Bacteroidia;Sphingobacteriales;Sphingobacteriaceae;Pedobacter;Acytostelium_ellipticum	Bacteria;Bacteroidetes;Bacteroidia;Sphingobacteriales;Sphingobacteriaceae;Pedobacter
Bacteria;Bacteroidetes;Bacteroidia;Sphingobacteriales;Sphingobacteriaceae;Pedobacter;Beta_vulgaris_subsp._vulgaris	Bacteria;Bacteroidetes;Bacteroidia;Sphingobacteriales;Sphingobacteriaceae;Pedobacter
Bacteria;Bacteroidetes;Bacteroidia;Sphingobacteriales;Sphingobacteriaceae;Sphingobacterium;Brassica_oleracea_var._capitata_(cabbage)	Bacteria;Bacteroidetes;Bacteroidia;Sphingobacteriales;Sphingobacteriaceae;Sphingobacterium
Bacteria;Bacteroidetes;Bacteroidia;Sphingobacteriales;Sphingobacteriaceae;Sphingobacterium;Caenorhabditis_elegans	Bacteria;Bacteroidetes;Bacteroidia;Sphingobacteriales;Sphingobacteriaceae;Sphingobacterium
Bacteria;Bacteroidetes;Bacteroidia;Sphingobacteriales;Sphingobacteriaceae;Sphingobacterium;Oryza_sativa_Indica_Group_(long-grained_rice)	Bacteria;Bacteroidetes;Bacteroidia;Sphingobacteriales;Sphingobacteriaceae;Sphingobacterium
Bacteria;Bacteroidetes;Bacteroidia;Sphingobacteriales;Sphingobacteriaceae;Sphingobacterium;Triticum_urartu	Bacteria;Bacteroidetes;Bacteroidia;Sphingobacteriales;Sphingobacteriaceae;Sphingobacterium
Bacteria;Chlamydiae;Chlamydiae;Chlamydiales;Chlamydiaceae;Chlamydia;Anolis_carolinensis_(green_anole)	Bacteria;Chlamydiae;Chlamydiae;Chlamydiales;Chlamydiaceae;Chlamydia
Bacteria;Chlamydiae;Chlamydiae;Chlamydiales;Simkaniaceae;Candidatus_Rhabdochlamydia;Latrodectus_geometricus_(brown_widow)	Bacteria;Chlamydiae;Chlamydiae;Chlamydiales;Simkaniaceae;Candidatus_Rhabdochlamydia
Bacteria;Chlamydiae;Chlamydiae;Chlamydiales;Simkaniaceae;Candidatus_Rhabdochlamydia;Tetrodontophora_bielanensis_(giant_springtail)	Bacteria;Chlamydiae;Chlamydiae;Chlamydiales;Simkaniaceae;Candidatus_Rhabdochlamydia
Bacteria;Cyanobacteria;Melainabacteria;Gastranaerophilales;Blattella_germanica_(German_cockroach)	Bacteria;Cyanobacteria;Melainabacteria;Gastranaerophilales
Bacteria;Cyanobacteria;Oxyphotobacteria;Chloroplast;Cladosiphon_okamuranus	Bacteria;Cyanobacteria;Oxyphotobacteria;Chloroplast
Bacteria;Cyanobacteria;Oxyphotobacteria;Chloroplast;Ephemera_danica	Bacteria;Cyanobacteria;Oxyphotobacteria;Chloroplast
Bacteria;Cyanobacteria;Oxyphotobacteria;Chloroplast;Porites_astreoides	Bacteria;Cyanobacteria;Oxyphotobacteria;Chloroplast;;
Bacteria;Cyanobacteria;Oxyphotobacteria;Nostocales;Chroococcidiopsaceae;Aliterella_CENA595;Oreochromis_niloticus_(Nile_tilapia)	Bacteria;Cyanobacteria;Oxyphotobacteria;Nostocales;Chroococcidiopsaceae;Aliterella_CENA595
Bacteria;Cyanobacteria;Oxyphotobacteria;Nostocales;Chroococcidiopsaceae;Chroococcidiopsis_SAG_2023;Larimichthys_crocea_(large_yellow_croaker)	Bacteria;Cyanobacteria;Oxyphotobacteria;Nostocales;Chroococcidiopsaceae;Chroococcidiopsis_SAG_2023
Bacteria;Cyanobacteria;Oxyphotobacteria;Nostocales;Coleofasciculaceae;Microcoleus_SAG_1449-1a;Persicaria_minor	Bacteria;Cyanobacteria;Oxyphotobacteria;Nostocales;Coleofasciculaceae;Microcoleus;SAG_1449-1a
Bacteria;Deferribacteres;Deferribacteres;Deferribacterales;Deferribacteraceae;Mucispirillum;Gadus_morhua_(Atlantic_cod)	Bacteria;Deferribacteres;Deferribacteres;Deferribacterales;Deferribacteraceae;Mucispirillum
Bacteria;Deinococcus-Thermus;Deinococci;Deinococcales;Deinococcaceae;Deinococcus;Cenchrus_americanus	Bacteria;Deinococcus-Thermus;Deinococci;Deinococcales;Deinococcaceae;Deinococcus
Bacteria;Deinococcus-Thermus;Deinococci;Deinococcales;Deinococcaceae;Deinococcus;Methylobacterium_adhaesivum	Bacteria;Deinococcus-Thermus;Deinococci;Deinococcales;Deinococcaceae;Deinococcus
Bacteria;Epsilonbacteraeota;Campylobacteria;Campylobacterales;Helicobacteraceae;Helicobacter;Syphacia_muris	Bacteria;Epsilonbacteraeota;Campylobacteria;Campylobacterales;Helicobacteraceae;Helicobacter
Bacteria;Epsilonbacteraeota;Campylobacteria;Campylobacterales;Sulfurovaceae;Sulfurovum;Alviniconcha_aff._hessleri_gill_endosymbiont	Bacteria;Epsilonbacteraeota;Campylobacteria;Campylobacterales;Sulfurovaceae;Sulfurovum
Bacteria;Epsilonbacteraeota;Campylobacteria;Campylobacterales;Thiovulaceae;Sulfurimonas;Alviniconcha_sp._gill_symbiont	Bacteria;Epsilonbacteraeota;Campylobacteria;Campylobacterales;Thiovulaceae;Sulfurimonas
Bacteria;Firmicutes;Bacilli;Bacillales;Paenibacillaceae;Brevibacillus;Xanthomonas_arboricola_pv._juglandis	Bacteria;Firmicutes;Bacilli;Bacillales;Paenibacillaceae;Brevibacillus
Bacteria;Firmicutes;Bacilli;Bacillales;Paenibacillaceae;Paenibacillus;Azotobacter_vinelandii	Bacteria;Firmicutes;Bacilli;Bacillales;Paenibacillaceae;Paenibacillus
Bacteria;Firmicutes;Bacilli;Bacillales;Paenibacillaceae;Paenibacillus;Caenorhabditis_brenneri	Bacteria;Firmicutes;Bacilli;Bacillales;Paenibacillaceae;Paenibacillus
Bacteria;Firmicutes;Bacilli;Bacillales;Paenibacillaceae;Paenibacillus;Chlamydia_abortus	Bacteria;Firmicutes;Bacilli;Bacillales;Paenibacillaceae;Paenibacillus
Bacteria;Firmicutes;Bacilli;Bacillales;Paenibacillaceae;Paenibacillus;Escherichia_sp._BAB-3431	Bacteria;Firmicutes;Bacilli;Bacillales;Paenibacillaceae;Paenibacillus
Bacteria;Firmicutes;Bacilli;Bacillales;Paenibacillaceae;Paenibacillus;Firmicutes_bacterium_rif200828	Bacteria;Firmicutes;Bacilli;Bacillales;Paenibacillaceae;Paenibacillus
Bacteria;Firmicutes;Bacilli;Bacillales;Paenibacillaceae;Paenibacillus;Firmicutes_bacterium_SM22	Bacteria;Firmicutes;Bacilli;Bacillales;Paenibacillaceae;Paenibacillus
Bacteria;Firmicutes;Bacilli;Bacillales;Paenibacillaceae;Paenibacillus;Firmicutes_bacterium_SM60	Bacteria;Firmicutes;Bacilli;Bacillales;Paenibacillaceae;Paenibacillus
Bacteria;Firmicutes;Bacilli;Bacillales;Paenibacillaceae;Paenibacillus;Fontibacillus_panacisegetis	Bacteria;Firmicutes;Bacilli;Bacillales;Paenibacillaceae;Paenibacillus
Bacteria;Firmicutes;Bacilli;Bacillales;Paenibacillaceae;Paenibacillus;Fontibacillus_phaseoli	Bacteria;Firmicutes;Bacilli;Bacillales;Paenibacillaceae;Paenibacillus
Bacteria;Firmicutes;Bacilli;Bacillales;Paenibacillaceae;Paenibacillus;Fontibacillus_solani	Bacteria;Firmicutes;Bacilli;Bacillales;Paenibacillaceae;Paenibacillus
Bacteria;Firmicutes;Bacilli;Bacillales;Paenibacillaceae;Paenibacillus;Geobacillus_sp._JNTUH4	Bacteria;Firmicutes;Bacilli;Bacillales;Paenibacillaceae;Paenibacillus
Bacteria;Firmicutes;Bacilli;Bacillales;Paenibacillaceae;Paenibacillus;Mannheimia_haemolytica_MhBrain2012	Bacteria;Firmicutes;Bacilli;Bacillales;Paenibacillaceae;Paenibacillus
Bacteria;Firmicutes;Bacilli;Bacillales;Paenibacillaceae;Paenibacillus;Microbotryum_violaceum	Bacteria;Firmicutes;Bacilli;Bacillales;Paenibacillaceae;Paenibacillus
Bacteria;Firmicutes;Bacilli;Bacillales;Paenibacillaceae;Paenibacillus;Mucor_ambiguus	Bacteria;Firmicutes;Bacilli;Bacillales;Paenibacillaceae;Paenibacillus
Bacteria;Firmicutes;Bacilli;Bacillales;Paenibacillaceae;Paenibacillus;Mycobacterium_sp._DWMJ-2018B1	Bacteria;Firmicutes;Bacilli;Bacillales;Paenibacillaceae;Paenibacillus
Bacteria;Firmicutes;Bacilli;Bacillales;Paenibacillaceae;Paenibacillus;Mycobacterium_sp._DWMJ-2018B2	Bacteria;Firmicutes;Bacilli;Bacillales;Paenibacillaceae;Paenibacillus
Bacteria;Firmicutes;Bacilli;Bacillales;Paenibacillaceae;Paenibacillus;Mycobacterium_sp._DWMJ-2018B3	Bacteria;Firmicutes;Bacilli;Bacillales;Paenibacillaceae;Paenibacillus
Bacteria;Firmicutes;Bacilli;Bacillales;Paenibacillaceae;Paenibacillus;Mycobacterium_sp._DWMJ-443B1	Bacteria;Firmicutes;Bacilli;Bacillales;Paenibacillaceae;Paenibacillus
Bacteria;Firmicutes;Bacilli;Bacillales;Paenibacillaceae;Paenibacillus;Mycobacterium_sp._DWMJ-515A1	Bacteria;Firmicutes;Bacilli;Bacillales;Paenibacillaceae;Paenibacillus
Bacteria;Firmicutes;Bacilli;Bacillales;Paenibacillaceae;Paenibacillus;Mycobacterium_tuberculosis	Bacteria;Firmicutes;Bacilli;Bacillales;Paenibacillaceae;Paenibacillus
Bacteria;Firmicutes;Bacilli;Bacillales;Paenibacillaceae;Paenibacillus;Mycobacterium_tuberculosis_FJ05194	Bacteria;Firmicutes;Bacilli;Bacillales;Paenibacillaceae;Paenibacillus
Bacteria;Firmicutes;Bacilli;Bacillales;Paenibacillaceae;Paenibacillus;Oryza_sativa_Indica_Group_(long-grained_rice)	Bacteria;Firmicutes;Bacilli;Bacillales;Paenibacillaceae;Paenibacillus
Bacteria;Firmicutes;Bacilli;Bacillales;Paenibacillaceae;Paenibacillus;P-decomposing_bacterium_1	Bacteria;Firmicutes;Bacilli;Bacillales;Paenibacillaceae;Paenibacillus
Bacteria;Firmicutes;Bacilli;Bacillales;Paenibacillaceae;Paenibacillus;Pantoea_agglomerans	Bacteria;Firmicutes;Bacilli;Bacillales;Paenibacillaceae;Paenibacillus
Bacteria;Firmicutes;Bacilli;Bacillales;Paenibacillaceae;Paenibacillus;Pseudomonas_fluorescens	Bacteria;Firmicutes;Bacilli;Bacillales;Paenibacillaceae;Paenibacillus
Bacteria;Firmicutes;Bacilli;Bacillales;Paenibacillaceae;Paenibacillus;Pseudomonas_sp._CL4.14	Bacteria;Firmicutes;Bacilli;Bacillales;Paenibacillaceae;Paenibacillus
Bacteria;Firmicutes;Bacilli;Bacillales;Paenibacillaceae;Paenibacillus;Rhizobium_sp._rf002	Bacteria;Firmicutes;Bacilli;Bacillales;Paenibacillaceae;Paenibacillus
Bacteria;Firmicutes;Bacilli;Bacillales;Paenibacillaceae;Paenibacillus;Siboglinum_sp._associated_bacterium	Bacteria;Firmicutes;Bacilli;Bacillales;Paenibacillaceae;Paenibacillus
Bacteria;Firmicutes;Bacilli;Bacillales;Paenibacillaceae;Paenibacillus;Streptococcus_pneumoniae	Bacteria;Firmicutes;Bacilli;Bacillales;Paenibacillaceae;Paenibacillus
Bacteria;Firmicutes;Bacilli;Bacillales;Paenibacillaceae;Paenibacillus;Streptomyces_sp._KP17	Bacteria;Firmicutes;Bacilli;Bacillales;Paenibacillaceae;Paenibacillus
Bacteria;Firmicutes;Bacilli;Bacillales;Paenibacillaceae;Paenibacillus;Trachelomonas_grandis	Bacteria;Firmicutes;Bacilli;Bacillales;Paenibacillaceae;Paenibacillus
Bacteria;Firmicutes;Bacilli;Bacillales;Paenibacillaceae;Paenibacillus;Triticum_aestivum_(bread_wheat)	Bacteria;Firmicutes;Bacilli;Bacillales;Paenibacillaceae;Paenibacillus
Bacteria;Firmicutes;Bacilli;Bacillales;Planococcaceae;Kurthia;Proteus_vulgaris	Bacteria;Firmicutes;Bacilli;Bacillales;Planococcaceae;Kurthia
Bacteria;Firmicutes;Bacilli;Bacillales;Planococcaceae;Lysinibacillus;Staphylococcus;RCSR-NCCS-ST1	Bacteria;Firmicutes;Bacilli;Bacillales;Planococcaceae;Lysinibacillus
Bacteria;Firmicutes;Bacilli;Bacillales;Planococcaceae;Planomicrobium;Pseudomonas_xanthomarina	Bacteria;Firmicutes;Bacilli;Bacillales;Planococcaceae;Planomicrobium
Bacteria;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;[Bacillus];KITNT-3	Bacteria;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus
Bacteria;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;Barnesiella;S345	Bacteria;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus
